Red Signal, IR Signal
127745.000000, 158481.000000
127768.000000, 158555.000000
127820.000000, 158671.000000
127891.000000, 158823.000000
127928.000000, 158937.000000
127956.000000, 159001.000000
127910.000000, 158890.000000
127778.000000, 158526.000000
127645.000000, 158135.000000
127551.000000, 157902.000000
127510.000000, 157801.000000
127500.000000, 157776.000000
127527.000000, 157851.000000
127593.000000, 157983.000000
127628.000000, 158096.000000
127665.000000, 158182.000000
127719.000000, 158297.000000
127768.000000, 158415.000000
127812.000000, 158528.000000
127864.000000, 158671.000000
127922.000000, 158787.000000
127968.000000, 158908.000000
128028.000000, 159061.000000
128078.000000, 159183.000000
128064.000000, 159136.000000
127918.000000, 158766.000000
127752.000000, 158306.000000
127639.000000, 157995.000000
127566.000000, 157834.000000
127524.000000, 157730.000000
127521.000000, 157741.000000
127545.000000, 157823.000000
127565.000000, 157863.000000
127547.000000, 157833.000000
127555.000000, 157848.000000
127577.000000, 157905.000000
127601.000000, 157969.000000
127636.000000, 158062.000000
127694.000000, 158197.000000
127746.000000, 158325.000000
127810.000000, 158484.000000
127876.000000, 158634.000000
127932.000000, 158782.000000
127881.000000, 158652.000000
127726.000000, 158233.000000
127597.000000, 157863.000000
127514.000000, 157653.000000
127480.000000, 157569.000000
127476.000000, 157561.000000
127492.000000, 157621.000000
127526.000000, 157714.000000
127529.000000, 157753.000000
127556.000000, 157803.000000
127573.000000, 157883.000000
127602.000000, 157976.000000
127644.000000, 158062.000000
127639.000000, 158114.000000
127663.000000, 158187.000000
127684.000000, 158267.000000
127722.000000, 158381.000000
127757.000000, 158478.000000
127662.000000, 158248.000000
127475.000000, 157769.000000
127339.000000, 157392.000000
127269.000000, 157212.000000
127252.000000, 157185.000000
127275.000000, 157247.000000
127336.000000, 157390.000000
127377.000000, 157526.000000
127390.000000, 157570.000000
127420.000000, 157646.000000
127462.000000, 157737.000000
127497.000000, 157849.000000
127523.000000, 157935.000000
127572.000000, 158069.000000
127594.000000, 158153.000000
127633.000000, 158256.000000
127664.000000, 158345.000000
127609.000000, 158193.000000
127456.000000, 157759.000000
127309.000000, 157339.000000
127203.000000, 157073.000000
127174.000000, 156980.000000
127167.000000, 156971.000000
127199.000000, 157055.000000
127257.000000, 157205.000000
127289.000000, 157301.000000
127310.000000, 157338.000000
127315.000000, 157370.000000
127341.000000, 157436.000000
127376.000000, 157541.000000
127419.000000, 157660.000000
127456.000000, 157782.000000
127494.000000, 157875.000000
127526.000000, 157972.000000
127533.000000, 157996.000000
127395.000000, 157615.000000
127157.000000, 156979.000000
126982.000000, 156504.000000
126887.000000, 156266.000000
126859.000000, 156155.000000
126852.000000, 156140.000000
126896.000000, 156241.000000
126964.000000, 156388.000000
127001.000000, 156456.000000
127020.000000, 156514.000000
127062.000000, 156595.000000
127118.000000, 156719.000000
127181.000000, 156888.000000
127255.000000, 157051.000000
127300.000000, 157205.000000
127368.000000, 157357.000000
127411.000000, 157509.000000
127467.000000, 157645.000000
127449.000000, 157606.000000
127261.000000, 157096.000000
127052.000000, 156526.000000
126934.000000, 156165.000000
126866.000000, 155998.000000
126856.000000, 155950.000000
126884.000000, 156023.000000
126940.000000, 156161.000000
126968.000000, 156253.000000
127003.000000, 156330.000000
127027.000000, 156386.000000
127068.000000, 156498.000000
127111.000000, 156609.000000
127158.000000, 156740.000000
127222.000000, 156884.000000
127281.000000, 157040.000000
127324.000000, 157174.000000
127364.000000, 157301.000000
127401.000000, 157417.000000
127326.000000, 157206.000000
127098.000000, 156601.000000
126902.000000, 156065.000000
126807.000000, 155788.000000
126763.000000, 155688.000000
126785.000000, 155714.000000
126826.000000, 155835.000000
126879.000000, 155962.000000
126920.000000, 156044.000000
126948.000000, 156114.000000
126978.000000, 156215.000000
127024.000000, 156314.000000
127077.000000, 156456.000000
127138.000000, 156633.000000
127206.000000, 156812.000000
127282.000000, 156999.000000
127360.000000, 157184.000000
127417.000000, 157363.000000
127417.000000, 157358.000000
127257.000000, 156897.000000
127035.000000, 156275.000000
126888.000000, 155890.000000
126853.000000, 155753.000000
126847.000000, 155751.000000
126884.000000, 155823.000000
126929.000000, 155992.000000
126980.000000, 156116.000000
127015.000000, 156178.000000
127051.000000, 156281.000000
127093.000000, 156411.000000
127137.000000, 156527.000000
127183.000000, 156667.000000
127234.000000, 156804.000000
127289.000000, 156974.000000
127349.000000, 157134.000000
127387.000000, 157281.000000
127448.000000, 157432.000000
127508.000000, 157596.000000
127513.000000, 157627.000000
127360.000000, 157195.000000
127124.000000, 156545.000000
126948.000000, 156067.000000
126860.000000, 155831.000000
126826.000000, 155750.000000
126846.000000, 155795.000000
126884.000000, 155901.000000
126938.000000, 156033.000000
126971.000000, 156124.000000
126996.000000, 156186.000000
127020.000000, 156269.000000
127054.000000, 156336.000000
127087.000000, 156445.000000
127125.000000, 156587.000000
127181.000000, 156728.000000
127225.000000, 156871.000000
127281.000000, 157009.000000
127333.000000, 157156.000000
127388.000000, 157317.000000
127446.000000, 157459.000000
127464.000000, 157530.000000
127330.000000, 157178.000000
127110.000000, 156584.000000
126946.000000, 156157.000000
126896.000000, 156016.000000
126883.000000, 155970.000000
126892.000000, 156029.000000
126951.000000, 156185.000000
127015.000000, 156362.000000
127052.000000, 156459.000000
127078.000000, 156535.000000
127103.000000, 156615.000000
127152.000000, 156734.000000
127180.000000, 156837.000000
127192.000000, 156910.000000
127242.000000, 157045.000000
127294.000000, 157186.000000
127334.000000, 157320.000000
127396.000000, 157477.000000
127475.000000, 157676.000000
127516.000000, 157814.000000
127439.000000, 157607.000000
127277.000000, 157181.000000
127137.000000, 156840.000000
127075.000000, 156700.000000
127072.000000, 156671.000000
127098.000000, 156737.000000
127150.000000, 156880.000000
127189.000000, 156989.000000
127219.000000, 157075.000000
127257.000000, 157183.000000
127299.000000, 157278.000000
127341.000000, 157403.000000
127405.000000, 157551.000000
127467.000000, 157741.000000
127513.000000, 157881.000000
127531.000000, 157970.000000
127568.000000, 158075.000000
127612.000000, 158208.000000
127633.000000, 158284.000000
127529.000000, 158019.000000
127350.000000, 157541.000000
127197.000000, 157144.000000
127126.000000, 156938.000000
127097.000000, 156865.000000
127075.000000, 156827.000000
127095.000000, 156891.000000
127123.000000, 156976.000000
127162.000000, 157056.000000
127182.000000, 157113.000000
127197.000000, 157171.000000
127227.000000, 157256.000000
127264.000000, 157349.000000
127293.000000, 157449.000000
127338.000000, 157582.000000
127390.000000, 157728.000000
127439.000000, 157852.000000
127477.000000, 157959.000000
127508.000000, 158060.000000
127529.000000, 158146.000000
127437.000000, 157877.000000
127258.000000, 157379.000000
127096.000000, 156953.000000
127008.000000, 156713.000000
126960.000000, 156600.000000
126944.000000, 156591.000000
126981.000000, 156678.000000
127043.000000, 156795.000000
127053.000000, 156861.000000
127079.000000, 156894.000000
127085.000000, 156949.000000
127111.000000, 157029.000000
127147.000000, 157124.000000
127192.000000, 157265.000000
127242.000000, 157400.000000
127293.000000, 157556.000000
127350.000000, 157712.000000
127398.000000, 157860.000000
127452.000000, 158004.000000
127472.000000, 158044.000000
127331.000000, 157693.000000
127129.000000, 157150.000000
126978.000000, 156716.000000
126872.000000, 156483.000000
126825.000000, 156373.000000
126794.000000, 156313.000000
126818.000000, 156398.000000
126853.000000, 156484.000000
126858.000000, 156519.000000
126861.000000, 156547.000000
126873.000000, 156578.000000
126904.000000, 156664.000000
126939.000000, 156754.000000
126981.000000, 156868.000000
127045.000000, 157023.000000
127115.000000, 157209.000000
127168.000000, 157366.000000
127205.000000, 157488.000000
127265.000000, 157642.000000
127198.000000, 157494.000000
127017.000000, 157016.000000
126861.000000, 156560.000000
126786.000000, 156363.000000
126779.000000, 156313.000000
126793.000000, 156365.000000
126876.000000, 156545.000000
126931.000000, 156701.000000
126956.000000, 156771.000000
126984.000000, 156856.000000
127040.000000, 156971.000000
127056.000000, 157046.000000
127096.000000, 157132.000000
127162.000000, 157286.000000
127210.000000, 157443.000000
127256.000000, 157572.000000
127321.000000, 157714.000000
127384.000000, 157857.000000
127334.000000, 157731.000000
127158.000000, 157255.000000
126963.000000, 156735.000000
126842.000000, 156417.000000
126793.000000, 156276.000000
126807.000000, 156278.000000
126825.000000, 156330.000000
126853.000000, 156433.000000
126863.000000, 156483.000000
126887.000000, 156536.000000
126905.000000, 156586.000000
126932.000000, 156685.000000
126972.000000, 156800.000000
126993.000000, 156880.000000
127021.000000, 156964.000000
127056.000000, 157074.000000
127092.000000, 157180.000000
127123.000000, 157277.000000
127120.000000, 157298.000000
126984.000000, 156933.000000
126779.000000, 156361.000000
126601.000000, 155890.000000
126499.000000, 155628.000000
126463.000000, 155521.000000
126464.000000, 155526.000000
126496.000000, 155604.000000
126511.000000, 155664.000000
126533.000000, 155725.000000
126535.000000, 155736.000000
126554.000000, 155795.000000
126595.000000, 155896.000000
126625.000000, 155999.000000
126676.000000, 156108.000000
126720.000000, 156249.000000
126791.000000, 156405.000000
126837.000000, 156542.000000
126896.000000, 156694.000000
126934.000000, 156793.000000
126833.000000, 156501.000000
126612.000000, 155929.000000
126430.000000, 155475.000000
126357.000000, 155287.000000
126329.000000, 155219.000000
126363.000000, 155281.000000
126407.000000, 155407.000000
126488.000000, 155607.000000
126534.000000, 155716.000000
126567.000000, 155806.000000
126642.000000, 155976.000000
126720.000000, 156143.000000
126813.000000, 156361.000000
126890.000000, 156572.000000
126995.000000, 156812.000000
127113.000000, 157072.000000
127270.000000, 157406.000000
127361.000000, 157616.000000
127402.000000, 157733.000000
127333.000000, 157507.000000
127129.000000, 157016.000000
126959.000000, 156568.000000
126882.000000, 156379.000000
126871.000000, 156343.000000
126861.000000, 156350.000000
126896.000000, 156457.000000
126925.000000, 156541.000000
126923.000000, 156514.000000
126904.000000, 156472.000000
126930.000000, 156543.000000
127012.000000, 156743.000000
127117.000000, 156972.000000
127204.000000, 157175.000000
127278.000000, 157387.000000
127399.000000, 157708.000000
127531.000000, 158055.000000
127612.000000, 158293.000000
127424.000000, 157835.000000
127203.000000, 157303.000000
127043.000000, 156894.000000
126952.000000, 156697.000000
126899.000000, 156587.000000
126888.000000, 156517.000000
126890.000000, 156550.000000
126898.000000, 156601.000000
126883.000000, 156602.000000
126881.000000, 156551.000000
126857.000000, 156533.000000
126840.000000, 156510.000000
126838.000000, 156513.000000
126855.000000, 156570.000000
126898.000000, 156692.000000
126930.000000, 156788.000000
127079.000000, 157908.000000
126980.000000, 157670.000000
126937.000000, 157560.000000
126899.000000, 157516.000000
126889.000000, 157511.000000
126904.000000, 157590.000000
126934.000000, 157684.000000
126942.000000, 157720.000000
126940.000000, 157742.000000
126961.000000, 157827.000000
126981.000000, 157887.000000
126979.000000, 157925.000000
126995.000000, 157984.000000
127031.000000, 158076.000000
127079.000000, 158187.000000
127108.000000, 158280.000000
127112.000000, 158332.000000
127154.000000, 158416.000000
127177.000000, 158495.000000
127119.000000, 158335.000000
127025.000000, 158064.000000
126927.000000, 157864.000000
126895.000000, 157774.000000
126889.000000, 157753.000000
126887.000000, 157770.000000
126908.000000, 157816.000000
126933.000000, 157884.000000
126950.000000, 157922.000000
126946.000000, 157933.000000
126970.000000, 157966.000000
126985.000000, 158015.000000
126998.000000, 158063.000000
127002.000000, 158110.000000
127019.000000, 158150.000000
127026.000000, 158187.000000
127028.000000, 158213.000000
127020.000000, 158219.000000
126925.000000, 158107.000000
126812.000000, 157823.000000
126666.000000, 157431.000000
126538.000000, 157117.000000
126453.000000, 156943.000000
